product_data_storage,product_travel_expense,product_payroll,product_accounting,csat_score,articles_viewed,smartphone_notifications_viewed,marketing_emails_clicked,social_media_ads_viewed,minutes_customer_support,company_size,us_region,months_active,churned
2048,Free-Trial,Active,No,9,4,0,14,1,8.3,10-50,West North Central,3.0,1.0
2048,Free-Trial,Free-Trial,Active,9,4,2,12,1,0.0,100-250,South Atlantic,2.0,1.0
2048,Active,Active,Active,9,3,2,17,1,0.0,100-250,East South Central,7.0,0.0
500,Active,Free-Trial,No,10,0,0,14,0,0.0,50-100,East South Central,8.0,1.0
5120,Free-Trial,Active,Free-Trial,8,5,0,17,0,0.0,50-100,East North Central,7.0,0.0
2048,Free-Trial,No,Active,9,4,0,17,1,0.0,100-250,Mountain,2.0,1.0
500,Active,No,No,10,6,0,12,2,0.0,100-250,Pacific,3.0,0.0
500,Free-Trial,Free-Trial,Free-Trial,9,6,0,13,1,5.6,10-50,New England,2.0,1.0
1024,Free-Trial,No,Active,9,5,1,20,0,0.0,10-50,West South Central,3.0,1.0
1024,Free-Trial,Free-Trial,No,10,3,1,16,0,0.0,50-100,New England,4.0,1.0
200,Free-Trial,Active,Active,7,1,1,19,0,0.0,1-10,Mountain,3.0,1.0
1024,Free-Trial,Free-Trial,Active,8,14,0,20,0,0.0,10-50,Mountain,4.0,1.0
500,Free-Trial,Active,Active,10,4,1,21,0,0.0,50-100,West South Central,5.0,0.0
2048,Free-Trial,Free-Trial,Active,10,5,0,18,0,0.0,1-10,West South Central,5.0,0.0
1024,Free-Trial,Active,Active,7,5,0,19,0,0.0,50-100,West North Central,3.0,1.0
2048,Free-Trial,Free-Trial,Active,10,4,0,12,0,12.2,10-50,Pacific,7.0,0.0
500,Active,Active,Free-Trial,9,3,1,15,1,0.0,self-employed,East South Central,5.0,0.0
2048,Free-Trial,Active,Active,9,3,1,15,1,0.0,10-50,New England,2.0,0.0
2048,Free-Trial,Active,No,9,7,1,13,1,0.0,50-100,Middle Atlantic,4.0,0.0
1024,Free-Trial,Free-Trial,No,10,6,0,16,0,1.9,100-250,West North Central,5.0,1.0
2048,Free-Trial,Active,Active,10,3,0,19,0,13.8,10-50,Mountain,7.0,0.0
500,Free-Trial,Active,Free-Trial,8,4,0,16,1,0.0,50-100,Mountain,4.0,1.0
1024,Free-Trial,No,Active,9,4,1,15,1,0.0,50-100,East South Central,3.0,1.0
1024,Free-Trial,Free-Trial,Active,10,6,0,17,0,0.0,10-50,West South Central,5.0,0.0
1024,Free-Trial,Active,Free-Trial,10,4,0,9,0,0.0,10-50,West South Central,5.0,0.0
500,Free-Trial,No,No,10,4,0,13,0,0.0,10-50,West North Central,2.0,1.0
1024,Free-Trial,No,Free-Trial,7,3,1,12,0,0.0,10-50,East South Central,1.0,1.0
1024,Free-Trial,Free-Trial,Free-Trial,10,4,2,21,1,8.5,50-100,New England,3.0,1.0
2048,Free-Trial,Free-Trial,Active,9,1,0,16,0,0.0,1-10,Pacific,4.0,0.0
1024,Active,Free-Trial,Active,9,4,0,14,1,5.4,10-50,West North Central,3.0,0.0
2048,Free-Trial,Active,No,10,5,1,17,2,0.0,10-50,Pacific,11.0,0.0
2048,Free-Trial,Active,Active,9,4,0,8,0,0.0,10-50,Mountain,4.0,0.0
2048,Free-Trial,Active,Active,8,9,0,19,0,0.0,1-10,South Atlantic,3.0,0.0
500,Active,Free-Trial,Active,8,4,0,15,0,0.0,1-10,West North Central,2.0,1.0
2048,Free-Trial,Active,No,9,3,1,19,0,0.0,50-100,South Atlantic,2.0,1.0
1024,Free-Trial,Free-Trial,No,10,7,1,14,0,0.0,1-10,East South Central,3.0,1.0
2048,Free-Trial,Free-Trial,Active,9,3,0,16,0,0.0,1-10,East South Central,5.0,0.0
1024,Free-Trial,Active,No,9,3,0,15,0,0.0,10-50,Middle Atlantic,2.0,0.0
1024,Free-Trial,Free-Trial,Active,10,4,1,12,0,0.0,100-250,Middle Atlantic,7.0,0.0
500,Free-Trial,Active,Free-Trial,10,0,0,18,1,0.0,50-100,New England,3.0,0.0
5120,Active,Active,No,8,4,0,21,1,0.0,10-50,East South Central,3.0,0.0
2048,Free-Trial,Free-Trial,No,9,3,1,16,1,5.6,1-10,West North Central,3.0,1.0
1024,Free-Trial,Free-Trial,Active,9,4,0,15,0,0.0,10-50,Pacific,5.0,0.0
1024,Active,Free-Trial,No,9,3,0,15,0,0.0,10-50,Mountain,2.0,1.0
1024,Free-Trial,No,No,9,6,1,21,0,0.0,50-100,West North Central,1.0,1.0
200,Free-Trial,Free-Trial,Free-Trial,9,5,0,19,1,0.0,50-100,Pacific,6.0,1.0
2048,Free-Trial,Free-Trial,Active,8,7,0,18,0,2.2,50-100,East North Central,3.0,0.0
500,Free-Trial,Active,Active,9,3,0,17,0,13.1,50-100,Mountain,3.0,1.0
1024,Free-Trial,Active,No,10,4,1,13,0,0.0,50-100,New England,5.0,0.0
1024,Free-Trial,Active,Free-Trial,10,4,1,13,1,6.4,10-50,New England,4.0,0.0
