checking_account_status,duration,credit_history,purpose,amount,savings_account_status,employment_years,installment_rate,personal_status,other_debtors,present_residence,property,age,other_installment_plans,housing,number_of_credits,job,people_liable,telephone,foreign_worker,full_repaid
below_0,6,critical_account,radio_TV,1169,unknown,above_7,4,M_single,None,4,real_estate ,67,None,own,2,official,1,1,1,1
0_to_200,48,existing_credit_paid,radio_TV,5951,below_100,between_1_4,2,F_not_single,None,2,real_estate ,22,None,own,1,official,1,0,1,0
no_account,12,critical_account,education,2096,below_100,between_4_7,2,M_single,None,3,real_estate ,49,None,own,1,unskilled,2,0,1,1
below_0,42,existing_credit_paid,furniture_equipment,7882,below_100,between_4_7,2,M_single,guarantor,4,life_insurance  ,45,None,free,1,official,2,0,1,1
below_0,24,delay_in_paying,car_new,4870,below_100,between_1_4,3,M_single,None,4,no_property,53,None,free,2,official,2,0,1,0
no_account,36,existing_credit_paid,education,9055,unknown,between_1_4,2,M_single,None,4,no_property,35,None,free,1,unskilled,2,1,1,1
no_account,24,existing_credit_paid,furniture_equipment,2835,between_500_1000,above_7,3,M_single,None,4,life_insurance  ,53,None,own,1,official,1,0,1,1
0_to_200,36,existing_credit_paid,car_used,6948,below_100,between_1_4,2,M_single,None,2,other,35,None,rent,1,management,1,1,1,1
no_account,12,existing_credit_paid,radio_TV,3059,above_1000,between_4_7,2,M_divorced,None,4,real_estate ,61,None,own,1,unskilled,1,0,1,1
0_to_200,30,critical_account,car_new,5234,below_100,unemployed,4,M_divorced,None,2,other,28,None,own,2,management,1,0,1,0
0_to_200,12,existing_credit_paid,car_new,1295,below_100,below_1,3,F_not_single,None,1,other,25,None,rent,1,official,1,0,1,0
below_0,48,existing_credit_paid,business,4308,below_100,below_1,3,F_not_single,None,4,life_insurance  ,24,None,rent,1,official,1,0,1,0
0_to_200,12,existing_credit_paid,radio_TV,1567,below_100,between_1_4,1,F_not_single,None,1,other,22,None,own,1,official,1,1,1,1
below_0,24,critical_account,car_new,1199,below_100,above_7,4,M_single,None,4,other,60,None,own,2,unskilled,1,0,1,0
below_0,15,existing_credit_paid,car_new,1403,below_100,between_1_4,2,F_not_single,None,4,other,28,None,rent,1,official,1,0,1,1
below_0,24,existing_credit_paid,radio_TV,1282,between_100_500,between_1_4,4,F_not_single,None,2,other,32,None,own,1,unskilled,1,0,1,0
no_account,24,critical_account,radio_TV,2424,unknown,above_7,4,M_single,None,4,life_insurance  ,53,None,own,2,official,1,0,1,1
below_0,30,no_credit_taken,business,8072,unknown,below_1,2,M_single,None,3,other,25,bank,own,3,official,1,0,1,1
0_to_200,24,existing_credit_paid,car_used,12579,below_100,above_7,4,F_not_single,None,2,no_property,44,None,free,1,management,1,1,1,0
no_account,24,existing_credit_paid,radio_TV,3430,between_500_1000,above_7,3,M_single,None,2,other,31,None,own,1,official,2,1,1,1
no_account,9,critical_account,car_new,2134,below_100,between_1_4,4,M_single,None,4,other,48,None,own,3,official,1,1,1,1
