lifetime;broken;pressureInd;moistureInd;temperatureInd;team;provider
56;0;92.1788540640753;104.230204454489;96.5171587259733;TeamA;Provider4
81;1;72.0759377229452;103.065701425235;87.2710621830793;TeamC;Provider4
60;0;96.2722544275301;77.8013760205322;112.196170262351;TeamA;Provider1
86;1;94.4064612569099;108.493607753325;72.0253744101029;TeamC;Provider2
34;0;97.7528985897791;99.4134919963974;103.756270553275;TeamB;Provider1
30;0;87.6788009733013;115.712262320356;89.7921046614854;TeamA;Provider1
68;0;94.614174037134;85.7022356380606;142.827001371828;TeamB;Provider2
65;1;96.4833028856645;93.0467974673871;98.3161904467832;TeamB;Provider3
23;0;105.486157990584;118.291996630706;96.0288221791175;TeamB;Provider2
81;1;99.1782353057746;99.1387170107194;95.4929646113014;TeamC;Provider4
38;0;97.8178440900396;111.074167508023;94.9424432824847;TeamB;Provider4
29;0;67.8122514458563;96.1078462201018;122.371808723507;TeamA;Provider1
65;1;86.3661105866528;92.5619715887506;96.6679497218268;TeamA;Provider3
65;1;76.1446541448713;93.9734544334307;108.944272947925;TeamA;Provider3
82;1;103.107263258863;103.673197146068;79.5045324768189;TeamC;Provider4
80;1;88.4140794509119;97.3627545847408;89.3198129558635;TeamB;Provider1
48;0;84.3550486764251;103.17491872375;102.399715112682;TeamC;Provider3
80;1;79.6692545515282;95.9269075080747;99.7356352858733;TeamB;Provider1
92;1;86.2291086098403;86.1118997428554;111.842548344086;TeamB;Provider2
88;1;84.1794203871626;114.074065743353;83.627449891389;TeamB;Provider4
74;1;100.005923278369;103.502876419145;96.8760349931477;TeamC;Provider1
65;0;115.607559550656;103.013572734101;101.616842552809;TeamB;Provider2
61;0;97.6971890319144;101.884960709367;130.135675981608;TeamC;Provider1
35;0;101.415622932101;89.75374603711;114.9094340387;TeamC;Provider2
26;0;118.978697091642;105.298915992675;115.247084995721;TeamA;Provider2
63;0;102.112774936487;106.25069460373;92.3151951737787;TeamA;Provider3
88;1;129.124337837297;103.344720199179;92.8463590249401;TeamA;Provider4
79;1;109.033036160127;92.7541199037274;124.760444570188;TeamB;Provider1
53;0;107.298069450476;85.0552912921982;109.84100291177;TeamA;Provider3
73;1;127.263954387265;103.557291813328;133.859669314911;TeamC;Provider1
60;1;138.191120468217;91.656268959658;101.925927756907;TeamC;Provider3
13;0;72.5540841684545;111.376419170565;93.5414196283594;TeamB;Provider2
34;0;95.2146491809357;93.0717093398685;75.8454211390509;TeamA;Provider4
36;0;91.2471317438605;93.0372822347372;94.4583970686468;TeamB;Provider3
80;1;81.5553769784936;90.6988936711566;97.0269035346763;TeamB;Provider1
65;1;69.1345951914298;81.9801223418274;81.033925057653;TeamB;Provider3
31;0;132.857478405772;82.0372826041976;106.719265124192;TeamB;Provider1
74;1;54.7353314548447;91.3244327121414;91.4247947250669;TeamC;Provider1
25;0;84.8986462765521;84.8679009494253;96.5560518001072;TeamA;Provider4
58;0;94.1522872633945;88.4466586827165;135.744778497752;TeamB;Provider3
80;1;84.3440664667572;103.377052077521;113.2754592699;TeamA;Provider1
65;1;95.7535243622012;92.3158075389179;95.3270283918878;TeamA;Provider3
19;0;123.928439942715;102.34025662719;110.950760877646;TeamA;Provider3
60;1;101.505350792214;77.6598205058081;107.656093845233;TeamC;Provider3
84;0;120.945550205685;101.985851922193;101.884101694703;TeamB;Provider4
13;0;83.0685711492724;104.160709569624;124.362915255101;TeamC;Provider1
12;0;113.349121866685;114.473185940525;101.565777156702;TeamC;Provider1
15;0;75.6466929947925;114.198857430972;86.817937288562;TeamC;Provider1
26;0;113.435832131762;91.820618577886;95.3650854146951;TeamA;Provider4
43;0;81.7797835344172;91.9656538462526;75.1465463373069;TeamA;Provider4
80;1;68.8506514226278;106.214235757135;115.71196989067;TeamB;Provider1
65;1;150.665420952685;89.1390321941601;102.679902640764;TeamB;Provider3
1;0;72.4231287814734;120.484155161769;116.400433386931;TeamB;Provider2
34;0;97.132862327607;117.244906316361;101.504204284428;TeamA;Provider4
80;1;113.965257013214;127.302607415628;107.264736078105;TeamA;Provider1
12;0;57.4632132550643;104.97908939296;100.528014628588;TeamB;Provider2
92;1;144.344517413483;95.1218621652731;127.840226198999;TeamA;Provider2
82;1;80.692231525277;102.925458573317;74.673652769543;TeamC;Provider4
65;1;93.9133259837448;91.2621151530198;91.4866178720903;TeamB;Provider3
20;0;73.3211528927026;123.898000325771;129.439690146271;TeamB;Provider3
16;0;83.9583115687327;101.7508801791;117.898146254129;TeamB;Provider3
3;0;56.1717713452795;88.9170300237212;96.1433872824495;TeamC;Provider1
18;0;105.900037218583;104.268168669278;54.5736299504527;TeamC;Provider2
7;0;115.698400964051;105.85084571868;89.3437996774696;TeamA;Provider4
47;0;119.745995688186;119.104633488615;112.34128257558;TeamA;Provider1
23;0;105.893763641072;104.395459971189;118.385316646456;TeamA;Provider3
39;0;87.3928413294564;106.166233930236;84.521712583155;TeamB;Provider4
48;0;82.8818002875794;91.0251786442303;94.6200738154102;TeamC;Provider2
57;0;122.287990951171;93.8483521250464;91.0649902411848;TeamA;Provider1
68;0;85.0722088253067;104.109464660211;107.71403693928;TeamB;Provider2
18;0;119.204381028889;111.772156079851;84.2420852247211;TeamC;Provider1
1;0;107.785993065058;117.39033587806;113.37730840077;TeamB;Provider4
81;1;90.6712343177824;89.5638833022548;86.3841846669896;TeamC;Provider4
65;0;66.6378838260858;92.2058305636204;99.0619786471362;TeamC;Provider2
4;0;107.837358817626;99.8381721828922;111.084852791247;TeamB;Provider4
24;0;113.272605302996;114.696551952368;79.6998202852688;TeamA;Provider3
74;1;85.3313779769807;97.0452263816167;91.4131353989674;TeamC;Provider1
74;1;82.5282191076538;109.638423702737;96.5979961208589;TeamC;Provider1
16;0;90.636828612749;101.801610451346;130.055985128168;TeamB;Provider4
88;0;112.605329955875;100.274340904129;87.9836311173932;TeamB;Provider4
28;0;78.6659308082895;110.518407673434;111.078453638246;TeamA;Provider4
92;1;70.1017188061852;92.5590667268942;131.734206033081;TeamA;Provider2
49;0;99.1269188526731;105.455789045355;113.464436916463;TeamB;Provider4
39;0;129.815587555633;104.070275828454;99.8617326014132;TeamA;Provider3
18;0;129.358668618135;95.4877995865312;104.758243906072;TeamA;Provider1
80;0;86.430680267044;104.693943085313;86.3961799808754;TeamB;Provider4
81;1;127.643264392607;92.644797575282;98.0551415163719;TeamC;Provider4
65;1;95.2453990570643;115.950386405822;100.417860174062;TeamA;Provider3
79;1;83.4942365876273;93.4004699912755;121.297759826569;TeamB;Provider1
19;0;96.2196186480136;90.6621367345787;125.838522086165;TeamB;Provider2
58;0;79.1113931011273;73.6071607008806;74.8746230998836;TeamA;Provider1
76;0;106.867188742849;118.948357369232;97.4242108642806;TeamA;Provider4
92;1;111.255811350868;97.3599862072755;122.034273352979;TeamA;Provider2
92;1;96.1203461808198;105.576196409246;124.067119618007;TeamB;Provider2
52;0;86.1075142921743;93.6840793755196;83.1569608691616;TeamA;Provider3
